pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
CA	scaffold-ma1	1	100000	0.007142455429953321	92024	127	17781	148486
CA	scaffold-ma1	100001	200000	0.004691888319841401	94061	142	30265	127592
CA	scaffold-ma1	200001	300000	0.0071353251318101935	92320	203	28450	127740
CA	scaffold-ma1	300001	400000	0.0037165510406342913	93412	30	8072	170680
CA	scaffold-ma1	400001	500000	0.0050248653128885205	91506	97	19304	144404
CA	scaffold-ma1	500001	600000	0.0032302523903867688	94118	75	23218	141800
CA	scaffold-ma1	600001	700000	0.006686833306798281	92930	168	25124	135612
CA	scaffold-ma1	700001	800000	0.005491024287222809	93634	104	18940	149388
CA	scaffold-ma1	800001	900000	0.0057886599791464426	94110	161	27813	132594
CA	scaffold-ma1	900001	1000000	0.004082265398925176	93738	79	19352	148772
CA	scaffold-ma1	1000001	1100000	0.004967960256317949	93940	69	13889	160102
CA	scaffold-ma1	1100001	1200000	0.004618457185653658	94110	111	24034	140152
CA	scaffold-ma1	1200001	1300000	0.006640799880614834	94277	178	26804	134946
CA	scaffold-ma1	1300001	1400000	0.003724163614921482	94245	120	32222	124046
CA	scaffold-ma1	1400001	1500000	0.0005499373682441722	94676	18	32731	123890
CA	scaffold-ma1	1500001	1600000	0.0024097819296105675	95215	81	33613	123204
CA	scaffold-ma1	1600001	1700000	0.006002477212817988	95104	189	31487	127234
CA	scaffold-ma1	1700001	1800000	0.00412298268347273	94348	105	25467	137762
CA	scaffold-ma1	1800001	1900000	0.002294443047523259	95246	73	31816	126860
CA	scaffold-ma1	1900001	2000000	0.00044766765153550004	95103	5	11169	167868
CA	scaffold-ma1	2000001	2100000	0.00558799838904551	94585	111	19864	149442
CA	scaffold-ma1	2100001	2200000	0.006540018685767673	94480	126	19266	150428
CA	scaffold-ma1	2200001	2300000	0.003041034721687582	95194	79	25978	138432
CA	scaffold-ma1	2300001	2400000	0.0013632131932437824	94835	41	30076	129518
CA	scaffold-ma1	2400001	2500000	0.0011389521640091116	96154	33	28974	134360
CA	scaffold-ma1	2500001	2600000	0.0020435470137452863	95388	84	41105	108566
CA	scaffold-ma1	2600001	2700000	0.0005227846998344516	92889	6	11477	162824
CA	scaffold-ma1	2700001	2800000	0.005542911680493355	93655	151	27242	132826
CA	scaffold-ma1	2800001	2900000	0.01040950603947756	95943	212	20366	151154
CA	scaffold-ma1	2900001	3000000	0.005706820682068207	94846	83	14544	160604
CA	scaffold-ma1	3000001	3100000	0.006456153976845222	95145	266	41201	107888
CA	scaffold-ma1	3100001	3200000	0.003493748929611235	94908	102	29195	131426
CA	scaffold-ma1	3200001	3300000	0.004820671037408407	96054	25	5186	181736
CA	scaffold-ma1	3300001	3400000	0.0025238716190636437	94581	60	23773	141616
CA	scaffold-ma1	3400001	3500000	0.003734493732545301	95435	115	30794	129282
CA	scaffold-ma1	3500001	3600000	0.005230920552599812	95600	117	22367	146466
CA	scaffold-ma1	3600001	3700000	0.005578569455951395	94956	101	18105	153702
CA	scaffold-ma1	3700001	3800000	0.003344741754822651	94145	43	12856	162578
CA	scaffold-ma1	3800001	3900000	0.005855640535372849	96296	196	33472	125648
CA	scaffold-ma1	3900001	4000000	0.007768119909657108	95895	227	29222	133346
CA	scaffold-ma1	4000001	4100000	0.001639536245461998	96357	28	17078	158558
CA	scaffold-ma1	4100001	4200000	0.0034975225881667153	94507	36	10293	168428
CA	scaffold-ma1	4200001	4300000	0.0054716399506781754	95208	142	25952	138512
CA	scaffold-ma1	4300001	4400000	0.0029136445353666854	96590	47	16131	160918
CA	scaffold-ma1	4400001	4500000	0.006779100529100529	95828	82	12096	167464
CA	scaffold-ma1	4500001	4600000	0.00263119426984359	96019	90	34205	123628
CA	scaffold-ma1	4600001	4700000	0.003966710741230458	95506	102	25714	139584
CA	scaffold-ma1	4700001	4800000	0.0056409579732136965	95110	171	30314	129592
CA	scaffold-ma1	4800001	4900000	0.003266090297790586	96512	136	41640	109744
CA	scaffold-ma1	4900001	5000000	0.0044603033006244425	96408	90	20178	152460
CA	scaffold-ma1	5000001	5100000	0.005204238271743607	95564	139	26709	137710
CA	scaffold-ma1	5100001	5200000	0.007005190374215092	95761	193	27551	136420
CA	scaffold-ma1	5200001	5300000	0.003279482326011357	96285	149	45434	101702
CA	scaffold-ma1	5300001	5400000	0.0011455525606469002	97310	51	44520	105580
CA	scaffold-ma1	5400001	5500000	0.0021313081822635963	96034	87	40820	110428
CA	scaffold-ma1	5500001	5600000	0.003191987011914917	95983	116	36341	119284
CA	scaffold-ma1	5600001	5700000	0.0038105383921986395	95141	93	24406	141470
CA	scaffold-ma1	5700001	5800000	0.0040285513437516894	94817	149	36986	115662
CA	scaffold-ma1	5800001	5900000	0.003921848260125499	96195	55	14024	164342
CA	scaffold-ma1	5900001	6000000	0.004075067024128686	95819	114	27975	135688
CA	scaffold-ma1	6000001	6100000	0.0024656662601410468	96767	93	37718	118098
CA	scaffold-ma1	6100001	6200000	0.0024186975839314354	97040	92	38037	118006
CA	scaffold-ma1	6200001	6300000	0.00012065637065637066	96727	1	8288	176878
CA	scaffold-ma1	6300001	6400000	0.0036885889185371214	95996	94	25484	141024
CA	scaffold-ma1	6400001	6500000	0.002707156308851224	95836	69	25488	140696
CA	scaffold-ma1	6500001	6600000	0.00012171372930866602	95649	3	24648	142002
CA	scaffold-ma1	6600001	6700000	2.932981375568265e-05	96722	1	34095	125254
CA	scaffold-ma1	6700001	6800000	0.0010801880798068369	96301	17	15738	161126
CA	scaffold-ma1	6800001	6900000	0.0009804156005643369	96614	41	41819	109590
CA	scaffold-ma1	6900001	7000000	0.0035993601137575544	95129	81	22504	145250
CA	scaffold-ma1	7000001	7100000	0.004390426728061252	96188	82	18677	155022
CA	scaffold-ma1	7100001	7200000	0.002011149530731776	96195	57	28342	135706
CA	scaffold-ma1	7200001	7300000	0.00383008356545961	95148	121	31592	127112
CA	scaffold-ma1	7300001	7400000	0.0007068921989396617	96236	14	19805	152862
CA	scaffold-ma1	7400001	7500000	0.004543132879916127	95114	169	37199	115830
CA	scaffold-ma1	7500001	7600000	0.001904934687953556	96651	42	22048	149206
CA	scaffold-ma1	7600001	7700000	0.0034519700035710033	95857	87	25203	141308
CA	scaffold-ma1	7700001	7800000	0.004557640750670241	96220	85	18650	155140
CA	scaffold-ma1	7800001	7900000	0.00014477367049512595	95312	3	20722	149180
